,fetched_date,domain,http_code,user_agent,disallow_count,allow_count
191,2023-04-02T10:53:13Z,leimay.cavearts.org,200,*,1.0,0.0
192,2023-04-02T11:58:06Z,lelacherprise.com,302,,,
193,2023-04-02T11:30:11Z,lepeltjeliefde.blogspot.nl,302,,,
194,2023-04-02T12:58:46Z,lepetitstudio.be,404,,,
195,2023-04-02T11:12:49Z,lokalwaren-rothkreuz.de,200,,0.0,0.0
196,2023-04-02T11:12:49Z,lokalwaren-rothkreuz.de,200,*,1.0,1.0
197,2023-04-02T11:38:18Z,lotteundludwig.de,302,,,
198,2023-04-02T12:40:22Z,m.gzszt.com,200,,0.0,0.0
199,2023-04-02T12:40:22Z,m.gzszt.com,200,*,0.0,1.0
200,2023-04-02T11:53:12Z,m.paito88.info,200,,0.0,0.0
201,2023-04-02T11:53:12Z,m.paito88.info,200,*,2.0,0.0
202,2023-04-02T12:18:30Z,m.shuoshuo83.com.cn,302,,,
203,2023-04-02T10:56:14Z,m.weipengran.com,200,,0.0,0.0
204,2023-04-02T10:56:14Z,m.weipengran.com,200,*,2.0,0.0
205,2023-04-02T12:27:08Z,magnoliastreetpaper.com,302,,,
206,2023-04-02T10:55:01Z,makwanickibroker.pl,404,,,
207,2023-04-02T11:44:28Z,mallei.flovak-sollected.com,200,,0.0,0.0
208,2023-04-02T11:44:28Z,mallei.flovak-sollected.com,200,*,1.0,0.0
209,2023-04-02T11:44:28Z,mallei.flovak-sollected.com,200,bingbot,0.0,0.0
210,2023-04-02T11:44:28Z,mallei.flovak-sollected.com,200,googlebot,1.0,0.0
211,2023-04-02T12:25:40Z,marcharetomontserrat.blogspot.com,200,,0.0,0.0
212,2023-04-02T12:25:40Z,marcharetomontserrat.blogspot.com,200,Mediapartners-Google,1.0,0.0
213,2023-04-02T12:25:40Z,marcharetomontserrat.blogspot.com,200,*,1.0,1.0
214,2023-04-02T11:08:34Z,mariellevangenderen.nl,200,,0.0,0.0
215,2023-04-02T11:08:34Z,mariellevangenderen.nl,200,Googlebot,1.0,0.0
216,2023-04-02T11:08:34Z,mariellevangenderen.nl,200,Baiduspider,1.0,0.0
217,2023-04-02T11:08:34Z,mariellevangenderen.nl,200,YandexBot,1.0,0.0
218,2023-04-02T11:08:34Z,mariellevangenderen.nl,200,ichiro,1.0,0.0
219,2023-04-02T11:08:34Z,mariellevangenderen.nl,200,sogou spider,1.0,0.0
220,2023-04-02T11:08:34Z,mariellevangenderen.nl,200,Sosospider,1.0,0.0
221,2023-04-02T11:08:34Z,mariellevangenderen.nl,200,YoudaoBot,1.0,0.0
222,2023-04-02T11:08:34Z,mariellevangenderen.nl,200,YetiBot,1.0,0.0
223,2023-04-02T11:08:34Z,mariellevangenderen.nl,200,bingbot,2.0,0.0
224,2023-04-02T11:08:34Z,mariellevangenderen.nl,200,rdfbot,1.0,0.0
225,2023-04-02T11:08:34Z,mariellevangenderen.nl,200,Seznambot,1.0,0.0
226,2023-04-02T11:08:34Z,mariellevangenderen.nl,200,ia_archiver,1.0,0.0
227,2023-04-02T11:08:34Z,mariellevangenderen.nl,200,Mediapartners-Google,1.0,0.0
228,2023-04-02T12:02:50Z,math.mad.free.fr,404,,,
229,2023-04-02T10:55:13Z,mayberrys.ca,200,,0.0,0.0
230,2023-04-02T10:55:13Z,mayberrys.ca,200,*,2.0,1.0
231,2023-04-02T11:38:04Z,michael-korshandbags.biz,200,,0.0,0.0
232,2023-04-02T11:38:04Z,michael-korshandbags.biz,200,Googlebot,1.0,0.0
233,2023-04-02T11:38:04Z,michael-korshandbags.biz,200,Baiduspider,1.0,0.0
234,2023-04-02T11:38:04Z,michael-korshandbags.biz,200,YandexBot,1.0,0.0
235,2023-04-02T11:38:04Z,michael-korshandbags.biz,200,ichiro,1.0,0.0
236,2023-04-02T11:38:04Z,michael-korshandbags.biz,200,sogou spider,1.0,0.0
237,2023-04-02T11:38:04Z,michael-korshandbags.biz,200,Sosospider,1.0,0.0
238,2023-04-02T11:38:04Z,michael-korshandbags.biz,200,YoudaoBot,1.0,0.0
239,2023-04-02T11:38:04Z,michael-korshandbags.biz,200,YetiBot,1.0,0.0
240,2023-04-02T11:38:04Z,michael-korshandbags.biz,200,bingbot,2.0,0.0
241,2023-04-02T11:38:04Z,michael-korshandbags.biz,200,rdfbot,1.0,0.0
242,2023-04-02T11:38:04Z,michael-korshandbags.biz,200,Seznambot,1.0,0.0
243,2023-04-02T11:38:04Z,michael-korshandbags.biz,200,ia_archiver,1.0,0.0
244,2023-04-02T11:38:04Z,michael-korshandbags.biz,200,Mediapartners-Google,1.0,0.0
245,2023-04-02T10:53:19Z,missy.co.id,200,,0.0,0.0
246,2023-04-02T10:53:19Z,missy.co.id,200,*,1.0,1.0
247,2023-04-02T11:24:08Z,moderncom-systems.com,302,,,
248,2023-04-02T12:18:42Z,mrsgoresdiary.com,301,,,
249,2023-04-02T10:54:16Z,msservico.com,404,,,
250,2023-04-02T10:57:45Z,mxsmirnov.ru,200,,0.0,0.0
251,2023-04-02T10:57:45Z,mxsmirnov.ru,200,*,1.0,1.0
252,2023-04-02T11:15:13Z,netzwert-sanako.de,200,,0.0,0.0
253,2023-04-02T11:15:13Z,netzwert-sanako.de,200,*,15.0,0.0
254,2023-04-02T11:21:55Z,neu.lescopains.ch,404,,,
255,2023-04-02T11:58:42Z,news.0uef3q.icu,200,,0.0,0.0
256,2023-04-02T11:58:42Z,news.0uef3q.icu,200,*,0.0,1.0
257,2023-04-02T10:53:54Z,nicholekelly.com,200,,1.0,0.0
258,2023-04-02T11:20:11Z,ninewire.com,301,,,
259,2023-04-02T11:36:30Z,nl.colorlitelens.com,302,,,
